EmpID,Name,Age,YearsAtCompany,JobSatisfaction,WorkLifeBalance,MonthlyIncome,OverTimeHours,DistanceFromHome_km,PromotionLast5Years,Attrition
EMP0000,Employee_1,58,9,Very Low,Excellent,17618,6 hours,24.5,No,No
EMP0001,Employee_2,48,14,Low,Good,13027,7 hours,16.903,Yes,No
EMP0002,Employee_3,34,6,Low,Bad,16986,4 hours,16.326,No,No
EMP0003,Employee_4,27,3,Low,Worst,15400,12 hours,15.056,No,Yes
EMP0004,Employee_5,40,2,Very Low,Bad,6526,10 hours,6.229,No,Yes
EMP0005,Employee_6,58,9,Low,Good,14593,3 hours,29.324,Yes,No
EMP0006,Employee_7,38,13,Very High,Good,4622,6 hours,3.241,No,No
EMP0007,Employee_8,42,14,High,Good,8518,11 hours,8.818,No,No
EMP0008,Employee_9,30,2,High,Excellent,5657,11 hours,29.106,No,No
EMP0009,Employee_10,30,8,Very High,Bad,11699,10 hours,7.998,No,Yes
EMP0010,Employee_11,43,4,High,Excellent,16955,12 hours,22.278,No,No
EMP0011,Employee_12,55,12,Very Low,Excellent,5656,5 hours,11.155,Yes,No
EMP0012,Employee_13,59,14,Low,Bad,19673,11 hours,7.444,No,No
EMP0013,Employee_14,43,2,Low,Good,8858,5 hours,4.015,No,No
EMP0014,Employee_15,22,14,Low,Worst,13401,2 hours,15.903,No,No
EMP0015,Employee_16,41,4,Very Low,Worst,11758,10 hours,7.815,Yes,No
EMP0016,Employee_17,21,1,Very Low,Bad,4473,9 hours,29.143,Yes,Yes
EMP0017,Employee_18,43,10,Very Low,Bad,16281,3 hours,29.446,No,No
EMP0018,Employee_19,49,3,Very High,Good,18964,4 hours,5.864,No,No
EMP0019,Employee_20,57,9,Very Low,Bad,15057,8 hours,10.676,No,Yes
EMP0020,Employee_21,21,1,High,Bad,10673,7 hours,5.234,No,No
EMP0021,Employee_22,40,1,Very High,Good,17281,2 hours,22.34,No,Yes
EMP0022,Employee_23,52,11,Very High,Good,6251,5 hours,15.147,No,No
EMP0023,Employee_24,31,7,Very High,Excellent,8054,9 hours,19.723,No,No
EMP0024,Employee_25,41,0,Very Low,Bad,4716,No OT,9.526,No,No
EMP0025,Employee_26,44,13,Very High,Worst,12204,2 hours,7.842,No,No
EMP0026,Employee_27,46,6,Very Low,Bad,17106,9 hours,2.858,Yes,Yes
EMP0027,Employee_28,47,4,Very Low,Worst,4310,11 hours,2.207,No,No
EMP0028,Employee_29,35,14,Very High,Worst,18882,6 hours,18.308,No,Yes
EMP0029,Employee_30,34,10,Low,Worst,7257,6 hours,20.329,No,No
EMP0030,Employee_31,22,7,Low,Excellent,18846,1 hours,22.765,No,No
EMP0031,Employee_32,56,0,Very High,Good,13420,2 hours,6.429,No,Yes
EMP0032,Employee_33,26,10,Low,Good,16012,6 hours,21.823,No,No
EMP0033,Employee_34,40,6,High,Excellent,3468,11 hours,8.591,No,No
EMP0034,Employee_35,28,4,High,Good,8905,5 hours,13.944,No,Yes
EMP0035,Employee_36,58,3,Very Low,Excellent,15308,12 hours,6.892,No,No
EMP0036,Employee_37,37,6,Low,Bad,18634,6 hours,12.777,No,Yes
EMP0037,Employee_38,23,9,High,Excellent,17801,9 hours,6.945,No,Yes
EMP0038,Employee_39,44,14,Very High,Good,12628,8 hours,8.691,No,Yes
EMP0039,Employee_40,33,1,Low,Good,11728,7 hours,13.548,No,Yes
EMP0040,Employee_41,28,11,High,Bad,14005,5 hours,14.673,Yes,No
EMP0041,Employee_42,45,14,High,Excellent,10890,11 hours,5.027,Yes,No
EMP0042,Employee_43,21,0,Very High,Bad,10077,3 hours,13.456,No,No
EMP0043,Employee_44,39,0,Very Low,Worst,4971,12 hours,5.295,No,Yes
EMP0044,Employee_45,47,10,Very High,Excellent,16568,9 hours,13.869,No,No
EMP0045,Employee_46,26,11,Very Low,Bad,4191,8 hours,24.863,No,Yes
EMP0046,Employee_47,27,0,High,Bad,15820,6 hours,5.661,No,Yes
EMP0047,Employee_48,54,14,Very Low,Good,10765,4 hours,15.73,No,No
EMP0048,Employee_49,33,11,High,Excellent,13254,1 hours,13.034,No,No
EMP0049,Employee_50,36,4,High,Worst,6046,8 hours,19.782,No,No
EMP0050,Employee_51,55,9,Low,Worst,14750,6 hours,17.411,No,Yes
EMP0051,Employee_52,59,6,Very Low,Excellent,15703,8 hours,13.142,No,Yes
EMP0052,Employee_53,23,1,Very Low,Excellent,19688,10 hours,2.898,No,Yes
EMP0053,Employee_54,21,9,Very Low,Bad,11043,8 hours,13.919,No,Yes
