age,gender,education,department,salary_level,tenure_months,last_promotion_months,avg_monthly_hours,num_trainings,satisfaction_level,performance_score,work_accident,distance_from_home_km,attrition_prob,attrition
23,Male,Bachelors,IT,Low,43,44,175.8844951181338,5,0.35729490358724214,4,0,3.1,0.8390351138172958,1
51,Female,HighSchool,IT,Low,164,52,163.01625397190185,2,0.6919118161598402,1,0,7.2,0.4478148858962133,0
46,Female,Bachelors,Finance,Low,20,34,186.1013143067159,9,0.5269181774836805,1,1,1.5,0.6898500327254283,1
37,Male,Masters,R&D,Medium,181,24,149.80488473362237,6,0.5026581896433585,5,0,2.8,0.4474681265261044,1
37,Male,Bachelors,R&D,Low,7,0,159.59726810450846,6,0.052287967726986406,2,0,18.1,0.5018129545235694,0
55,Male,HighSchool,R&D,High,75,36,154.41620960784374,0,0.6616458834612758,3,0,7.3,0.4494411743908169,0
23,Female,Bachelors,Sales,High,62,54,200.341051229008,2,0.5060003634525555,4,0,8.6,0.6414212780667273,1
48,Female,PhD,Finance,Low,39,8,147.36315795235862,3,0.3208855205196728,4,0,0.4,0.6780479455261609,1
28,Female,Bachelors,R&D,Medium,128,14,185.75499238222244,6,0.4797201832341854,5,0,3.0,0.29139055352168447,1
23,Male,Bachelors,R&D,Low,53,31,132.73300941214714,0,0.3304931049070686,4,0,6.3,0.7189574467175579,1
41,Male,HighSchool,Sales,Low,36,32,162.00551291830004,2,0.27108876406134874,4,0,0.1,0.8639227312807994,0
60,Female,Bachelors,Sales,Low,94,25,156.3681421581284,9,0.12121019565789126,4,0,15.4,0.9431957173013538,1
50,Male,Masters,Finance,Low,119,8,139.58249060957982,2,0.2198461307909092,4,0,2.3,0.9748764081455368,1
51,Female,Masters,Sales,Medium,152,29,146.7108722977568,8,0.12968554296600843,5,0,0.2,0.9288395849124537,1
49,Male,Bachelors,Sales,Medium,21,30,170.06134500013525,1,0.010112417700908094,5,0,6.9,0.7276837739090991,1
52,Male,Masters,R&D,Medium,45,11,153.2707149244254,8,0.7377583420928926,4,0,18.2,0.35983442793249093,0
41,Female,Bachelors,HR,Medium,13,36,140.6964157210059,3,0.09444138963694182,5,0,8.6,0.8747618959739034,1
25,Female,Masters,Sales,Medium,190,51,177.9555085925918,2,0.39486094374062786,4,0,7.5,0.921640806401512,1
54,Female,HighSchool,Sales,Medium,134,5,159.57625825082036,6,0.6474962919264574,4,0,12.8,0.8666378871447203,1
38,Male,Bachelors,HR,High,60,4,166.6242789099298,5,0.7077054635936967,4,0,9.7,0.11834165622942677,0
40,Female,Masters,IT,Medium,128,34,181.86358649617213,1,0.07664002999641761,4,0,2.6,0.9425738868069339,1
35,Female,Masters,R&D,Low,194,46,190.91626707423595,8,0.88148429077963,4,0,8.8,0.36078392192180064,0
27,Female,Masters,HR,Medium,182,6,114.27855316200124,7,0.08948932601446935,4,0,9.6,0.656523570719218,0
57,Female,Bachelors,R&D,Low,221,56,157.85135830485072,3,0.5132518130097808,5,0,1.2,0.8953536476327947,0
52,Female,Masters,HR,Low,56,28,126.46160682270006,9,0.8222420492148753,4,0,4.7,0.39138972384571546,1
46,Female,Masters,R&D,Medium,40,6,214.52115556341343,0,0.45779697223321114,4,0,3.5,0.5695286269433145,1
36,Male,Bachelors,Finance,High,183,26,163.01501875071818,9,0.9996514343063123,1,0,7.5,0.8599249963367444,1
53,Male,Bachelors,HR,High,220,26,179.46322168724976,4,0.7058237614862349,4,0,0.7,0.8617664795435445,0
42,Female,Bachelors,Sales,Low,42,23,147.4578753287668,8,0.33881788839178095,4,0,6.1,0.812091127038413,1
38,Male,Bachelors,Sales,Low,169,35,152.89142771031888,8,0.0762084054625024,5,0,0.0,0.5376056109942116,0
38,Male,Masters,Finance,Low,138,14,181.98741361938824,8,0.8251151536263601,5,0,4.9,0.19640227031833563,0
29,Female,Bachelors,Sales,Medium,213,59,170.30210796072808,1,0.8704914214366019,4,0,2.8,0.5694405936154401,0
23,Male,HighSchool,R&D,Medium,47,17,193.55456733705395,4,0.6306454112434767,4,0,2.7,0.6772968479036835,1
42,Female,Bachelors,R&D,Medium,83,51,143.31225989711277,0,0.33069157229001633,3,0,2.6,0.8347543348189534,1
56,Female,Masters,Sales,High,149,49,155.63899480928657,2,0.5658576254459927,5,0,3.2,0.3402726846566846,1
22,Male,HighSchool,R&D,Low,207,24,170.2627608532431,5,0.002737571655727411,4,0,6.3,0.8534737663731251,1
55,Female,Masters,R&D,Low,198,11,173.31371876574235,6,0.41737390720873235,3,0,0.5,0.9075959320572817,1
53,Male,HighSchool,Finance,Medium,114,58,168.3855584020902,2,0.9863246094725001,5,0,10.0,0.45421270189846846,1
31,Female,Bachelors,Sales,Low,89,34,133.53759936710847,0,0.21314343044369688,4,0,7.0,0.6823498140052411,0
45,Female,Masters,Sales,Medium,46,19,141.14722527161499,3,0.6829195199115615,4,0,17.8,0.5193951122473913,1
26,Male,Bachelors,Sales,Low,96,9,166.83227741038678,5,0.10495053302656954,2,0,9.7,0.9172368469001069,1
51,Male,Masters,Sales,Medium,239,20,129.13342317218448,3,0.7298994605061596,1,0,3.4,0.406093092322674,1
48,Male,HighSchool,R&D,High,55,39,142.27935071157,9,0.4399970737872917,4,0,7.9,0.7096333738207454,1
34,Male,Bachelors,R&D,Low,227,30,160.74643336833216,6,0.3407735393512862,3,0,2.6,0.8411912828460557,1
22,Male,Bachelors,Sales,Low,67,3,144.4781449882524,6,0.5055869155429263,4,0,4.5,0.30810026926217976,0
59,Other,Masters,IT,High,30,46,164.58564474835407,0,0.8186598665905992,4,1,2.1,0.3971335459070535,0
38,Male,HighSchool,Sales,Low,172,19,158.20784827053492,9,0.8383650658464175,3,0,0.3,0.7892871259510661,1
56,Female,Bachelors,R&D,Medium,110,11,144.2365930622032,6,0.3528895286300243,4,0,0.4,0.5268645283826697,0
47,Male,Bachelors,Finance,High,175,41,144.71006400254308,9,0.6328593077825344,5,0,0.5,0.8970955021524991,1
51,Other,PhD,R&D,Low,236,44,185.5578049418151,4,0.3229980454114584,4,0,7.2,0.4786630044908058,1
51,Male,Masters,R&D,Low,36,49,167.6824889122531,6,0.45179796520400173,3,0,3.3,0.8909526320131254,1
27,Male,Masters,IT,Low,132,0,164.94650839736985,5,0.6562664958793931,4,0,3.1,0.7394577000119249,0
34,Female,Bachelors,R&D,Low,64,23,161.0972245521898,8,0.255697978950583,4,0,9.3,0.5449856415742717,0
39,Male,Bachelors,Sales,Low,119,15,141.8514947481194,7,0.3248609768562517,1,1,5.3,0.7753234134125891,1
40,Female,Masters,Sales,Low,62,34,148.7126007580784,3,0.16591623521167664,4,0,0.2,0.39753761353095457,0
21,Male,Masters,IT,Low,47,58,111.98554355050237,6,0.6015256652250861,2,0,6.0,0.7520677650535254,1
42,Female,Masters,Sales,Medium,125,7,147.26985585982325,1,0.8455740181293264,3,0,6.5,0.365796916049657,0
26,Female,Masters,Finance,Low,101,39,147.60668128425516,6,0.9181067121722506,3,0,0.9,0.7210318667784401,1
50,Female,Masters,Sales,Low,184,26,170.97200307309663,4,0.9426627293581868,5,0,0.3,0.7237152589821714,1
48,Male,HighSchool,Sales,Low,120,27,147.9373355390196,2,0.7795347439762802,4,0,1.3,0.592676481871758,0
57,Male,Bachelors,Finance,Medium,145,56,175.71793598581752,8,0.47304115567750327,3,0,2.7,0.5299620725862562,1
50,Male,PhD,IT,Low,171,43,154.80537516317963,8,0.8124946728236826,3,0,3.7,0.38198117344523674,0
35,Male,Bachelors,Sales,Low,14,5,162.97072596709077,0,0.25571755424610776,4,0,5.4,0.5310975568509171,0
59,Male,HighSchool,Sales,High,108,26,159.3763092989569,6,0.5109233815428742,3,0,9.4,0.7633313501043631,1
36,Female,Bachelors,HR,Medium,126,44,173.9957630362463,0,0.9184975027229529,5,0,3.2,0.5896299255140276,1
33,Female,Bachelors,R&D,Medium,152,6,184.12416897481356,4,0.5780960007309249,4,0,25.4,0.15399650542187973,0
57,Female,Masters,R&D,Medium,10,30,140.2598176857097,9,0.6110596008045216,5,0,9.0,0.9138925435250451,1
35,Male,Masters,Sales,Low,25,29,195.18861448269274,5,0.6213079277019903,3,0,4.0,0.8597666578651746,1
23,Male,HighSchool,IT,Low,203,4,142.86461354867484,1,0.8037679593700959,2,0,0.3,0.44790732338760464,0
